Date,TypeDepense,Departement,Agence,Montant,Description
2024-06-05,Infrastructure IT,Finance,Nzérékoré,178018,Dépense liée à infrastructure it
2024-08-30,Marketing,Support Client,Kankan,192669,Dépense liée à marketing
2024-05-14,Salaires,Opérations,Kindia,152209,Dépense liée à salaires
2024-10-13,Marketing,Finance,Kindia,40608,Dépense liée à marketing
2024-04-29,Frais bancaires,Opérations,Kankan,190998,Dépense liée à frais bancaires
2024-09-20,Infrastructure IT,Ventes,Labé,93087,Dépense liée à infrastructure it
2024-09-06,Autres,Finance,Nzérékoré,151933,Dépense liée à autres
2024-11-16,Marketing,Opérations,Kindia,87855,Dépense liée à marketing
2024-09-26,Salaires,Ventes,Conakry,163301,Dépense liée à salaires
2024-02-06,Marketing,Marketing,Kankan,123192,Dépense liée à marketing
2024-04-22,Formation,Finance,Nzérékoré,176619,Dépense liée à formation
2024-01-21,Formation,Ventes,Kindia,52265,Dépense liée à formation
2024-06-07,Marketing,Ventes,Kindia,18326,Dépense liée à marketing
2024-02-22,Infrastructure IT,Opérations,Conakry,49187,Dépense liée à infrastructure it
2024-05-18,Voyages,Opérations,Kankan,155265,Dépense liée à voyages
2024-05-04,Frais bancaires,Marketing,Conakry,163135,Dépense liée à frais bancaires
2024-08-27,Formation,Finance,Kindia,109123,Dépense liée à formation
2024-07-10,Formation,Support Client,Kankan,136486,Dépense liée à formation
2024-11-25,Formation,Finance,Labé,178776,Dépense liée à formation
2024-09-17,Infrastructure IT,Marketing,Kankan,168464,Dépense liée à infrastructure it
2024-01-04,Voyages,Opérations,Nzérékoré,5094,Dépense liée à voyages
2024-07-27,Autres,Opérations,Labé,131387,Dépense liée à autres
2024-06-07,Formation,Finance,Kankan,162172,Dépense liée à formation
2024-06-12,Formation,Opérations,Kankan,197879,Dépense liée à formation
2024-10-22,Maintenance,Ventes,Conakry,65287,Dépense liée à maintenance
2024-06-30,Infrastructure IT,Ventes,Nzérékoré,11285,Dépense liée à infrastructure it
2024-05-03,Salaires,Marketing,Nzérékoré,159446,Dépense liée à salaires
2024-06-23,Maintenance,Ventes,Conakry,68469,Dépense liée à maintenance
2024-08-11,Marketing,Ventes,Nzérékoré,108951,Dépense liée à marketing
2024-12-02,Voyages,Marketing,Nzérékoré,51085,Dépense liée à voyages
2024-10-28,Voyages,Opérations,Conakry,76612,Dépense liée à voyages
2024-08-11,Maintenance,Finance,Nzérékoré,182182,Dépense liée à maintenance
2024-01-02,Formation,Finance,Kankan,110422,Dépense liée à formation
2024-05-06,Maintenance,Opérations,Conakry,23740,Dépense liée à maintenance
2024-03-16,Autres,Marketing,Labé,143540,Dépense liée à autres
2024-08-22,Maintenance,Support Client,Kindia,162212,Dépense liée à maintenance
2024-10-30,Autres,Finance,Conakry,130196,Dépense liée à autres
2024-06-03,Frais bancaires,Ventes,Conakry,108497,Dépense liée à frais bancaires
2024-03-15,Salaires,Ventes,Labé,126964,Dépense liée à salaires
2024-01-28,Formation,Marketing,Kindia,34837,Dépense liée à formation
2024-06-02,Frais bancaires,Opérations,Labé,116686,Dépense liée à frais bancaires
2024-07-01,Voyages,Opérations,Labé,56353,Dépense liée à voyages
2024-03-29,Salaires,Finance,Conakry,51104,Dépense liée à salaires
2024-04-07,Marketing,Support Client,Nzérékoré,128240,Dépense liée à marketing
2024-09-20,Marketing,Support Client,Conakry,128134,Dépense liée à marketing
2024-09-07,Voyages,Ventes,Labé,166781,Dépense liée à voyages
2024-01-17,Frais bancaires,Finance,Nzérékoré,128146,Dépense liée à frais bancaires
2024-08-26,Maintenance,Support Client,Labé,96621,Dépense liée à maintenance
2024-06-01,Marketing,Marketing,Labé,52864,Dépense liée à marketing
2024-02-17,Voyages,Marketing,Kankan,61004,Dépense liée à voyages
2024-12-22,Salaires,Finance,Nzérékoré,30542,Dépense liée à salaires
2024-07-29,Salaires,Finance,Labé,24469,Dépense liée à salaires
2024-07-24,Marketing,Ventes,Kankan,47920,Dépense liée à marketing
2024-09-03,Maintenance,Ventes,Kindia,62878,Dépense liée à maintenance
2024-04-17,Autres,Finance,Labé,140319,Dépense liée à autres
2024-10-02,Autres,Ventes,Kankan,56122,Dépense liée à autres
2024-11-19,Autres,Marketing,Kindia,33728,Dépense liée à autres
2024-06-15,Maintenance,Finance,Kankan,139041,Dépense liée à maintenance
2024-11-15,Maintenance,Support Client,Kindia,94949,Dépense liée à maintenance
2024-04-23,Frais bancaires,Finance,Conakry,46964,Dépense liée à frais bancaires
2024-11-17,Maintenance,Marketing,Kankan,33791,Dépense liée à maintenance
2024-06-01,Maintenance,Support Client,Kindia,73496,Dépense liée à maintenance
2024-06-28,Maintenance,Opérations,Kankan,120640,Dépense liée à maintenance
2024-03-21,Salaires,Finance,Kindia,156039,Dépense liée à salaires
2024-10-04,Formation,Support Client,Kindia,96241,Dépense liée à formation
2024-11-29,Infrastructure IT,Ventes,Labé,7499,Dépense liée à infrastructure it
2024-07-02,Autres,Finance,Nzérékoré,126171,Dépense liée à autres
2024-04-19,Autres,Support Client,Kindia,64568,Dépense liée à autres
2024-04-08,Frais bancaires,Finance,Conakry,15232,Dépense liée à frais bancaires
2024-12-09,Marketing,Finance,Conakry,151684,Dépense liée à marketing
2024-02-20,Voyages,Ventes,Nzérékoré,176268,Dépense liée à voyages
2024-05-15,Formation,Finance,Conakry,9462,Dépense liée à formation
2024-10-09,Voyages,Marketing,Conakry,34779,Dépense liée à voyages
2024-07-17,Autres,Finance,Labé,60785,Dépense liée à autres
2024-02-19,Autres,Ventes,Labé,119650,Dépense liée à autres
2024-07-08,Formation,Finance,Kindia,48788,Dépense liée à formation
2024-12-22,Formation,Ventes,Kankan,131048,Dépense liée à formation
2024-02-10,Salaires,Finance,Nzérékoré,61860,Dépense liée à salaires
2024-09-19,Maintenance,Opérations,Labé,145841,Dépense liée à maintenance
2024-09-17,Maintenance,Opérations,Labé,25816,Dépense liée à maintenance
2024-04-04,Maintenance,Marketing,Kindia,151519,Dépense liée à maintenance
2024-11-25,Frais bancaires,Marketing,Conakry,185631,Dépense liée à frais bancaires
2024-06-13,Formation,Finance,Labé,68683,Dépense liée à formation
2024-06-17,Infrastructure IT,Marketing,Conakry,155729,Dépense liée à infrastructure it
2024-04-18,Marketing,Support Client,Conakry,97161,Dépense liée à marketing
2024-01-11,Frais bancaires,Support Client,Conakry,96305,Dépense liée à frais bancaires
2024-09-15,Salaires,Ventes,Labé,140249,Dépense liée à salaires
2024-10-19,Frais bancaires,Opérations,Nzérékoré,54746,Dépense liée à frais bancaires
2024-07-23,Maintenance,Support Client,Conakry,182281,Dépense liée à maintenance
2024-03-10,Maintenance,Support Client,Nzérékoré,152672,Dépense liée à maintenance
2024-04-05,Salaires,Finance,Kankan,160613,Dépense liée à salaires
2024-12-03,Salaires,Marketing,Conakry,62940,Dépense liée à salaires
2024-08-26,Autres,Finance,Labé,172418,Dépense liée à autres
2024-06-25,Voyages,Ventes,Kankan,90237,Dépense liée à voyages
2024-12-18,Formation,Finance,Nzérékoré,80569,Dépense liée à formation
2024-06-02,Voyages,Ventes,Conakry,104373,Dépense liée à voyages
2024-12-15,Formation,Marketing,Kankan,86862,Dépense liée à formation
2024-03-22,Marketing,Finance,Nzérékoré,164429,Dépense liée à marketing
2024-06-10,Marketing,Ventes,Kindia,192913,Dépense liée à marketing
2024-05-09,Infrastructure IT,Marketing,Nzérékoré,92445,Dépense liée à infrastructure it
2024-11-10,Salaires,Support Client,Labé,65811,Dépense liée à salaires
2024-03-03,Maintenance,Opérations,Conakry,31472,Dépense liée à maintenance
2024-08-03,Formation,Finance,Nzérékoré,19593,Dépense liée à formation
2024-11-26,Salaires,Opérations,Kindia,144690,Dépense liée à salaires
2024-01-24,Salaires,Ventes,Conakry,15868,Dépense liée à salaires
2024-02-02,Frais bancaires,Marketing,Conakry,125808,Dépense liée à frais bancaires
2024-09-27,Formation,Ventes,Kankan,28620,Dépense liée à formation
2024-02-22,Voyages,Finance,Kindia,90151,Dépense liée à voyages
2024-08-26,Salaires,Finance,Conakry,72027,Dépense liée à salaires
2024-07-26,Infrastructure IT,Support Client,Kankan,195805,Dépense liée à infrastructure it
2024-06-03,Salaires,Support Client,Labé,80130,Dépense liée à salaires
2024-04-05,Salaires,Finance,Kindia,150335,Dépense liée à salaires
2024-04-26,Frais bancaires,Support Client,Labé,153430,Dépense liée à frais bancaires
2024-11-21,Salaires,Ventes,Kankan,103441,Dépense liée à salaires
2024-01-09,Autres,Ventes,Labé,157063,Dépense liée à autres
2024-12-25,Frais bancaires,Ventes,Conakry,184822,Dépense liée à frais bancaires
2024-02-24,Infrastructure IT,Ventes,Nzérékoré,21455,Dépense liée à infrastructure it
2024-01-22,Formation,Ventes,Nzérékoré,107426,Dépense liée à formation
2024-03-24,Infrastructure IT,Support Client,Kankan,133641,Dépense liée à infrastructure it
2024-03-14,Marketing,Support Client,Labé,167463,Dépense liée à marketing
2024-11-15,Autres,Marketing,Labé,165536,Dépense liée à autres
2024-12-25,Voyages,Support Client,Nzérékoré,124979,Dépense liée à voyages
2024-06-19,Maintenance,Finance,Conakry,35405,Dépense liée à maintenance
2024-06-21,Salaires,Ventes,Kindia,93253,Dépense liée à salaires
2024-01-12,Infrastructure IT,Finance,Nzérékoré,175538,Dépense liée à infrastructure it
2024-03-28,Autres,Ventes,Conakry,56620,Dépense liée à autres
2024-03-09,Maintenance,Marketing,Labé,103550,Dépense liée à maintenance
2024-11-14,Formation,Support Client,Conakry,63865,Dépense liée à formation
2024-11-21,Autres,Opérations,Labé,144667,Dépense liée à autres
2024-05-04,Infrastructure IT,Marketing,Labé,91609,Dépense liée à infrastructure it
2024-08-14,Frais bancaires,Opérations,Kankan,100709,Dépense liée à frais bancaires
2024-11-19,Salaires,Ventes,Kindia,38500,Dépense liée à salaires
2024-10-20,Frais bancaires,Opérations,Conakry,25063,Dépense liée à frais bancaires
2024-04-13,Marketing,Opérations,Labé,132754,Dépense liée à marketing
2024-12-28,Infrastructure IT,Support Client,Nzérékoré,75494,Dépense liée à infrastructure it
2024-10-24,Formation,Marketing,Kankan,82129,Dépense liée à formation
2024-12-19,Salaires,Support Client,Kankan,18495,Dépense liée à salaires
2024-06-28,Autres,Finance,Labé,52488,Dépense liée à autres
2024-04-21,Formation,Marketing,Kindia,177359,Dépense liée à formation
2024-12-02,Autres,Finance,Conakry,153922,Dépense liée à autres
2024-09-10,Formation,Finance,Nzérékoré,113304,Dépense liée à formation
2024-04-07,Marketing,Opérations,Labé,93600,Dépense liée à marketing
2024-02-07,Infrastructure IT,Marketing,Kindia,116369,Dépense liée à infrastructure it
2024-03-06,Maintenance,Ventes,Conakry,32773,Dépense liée à maintenance
2024-09-22,Infrastructure IT,Ventes,Nzérékoré,62306,Dépense liée à infrastructure it
2024-06-24,Infrastructure IT,Support Client,Conakry,90638,Dépense liée à infrastructure it
2024-11-28,Salaires,Marketing,Conakry,165540,Dépense liée à salaires
2024-12-04,Maintenance,Opérations,Labé,53353,Dépense liée à maintenance
2024-07-15,Infrastructure IT,Opérations,Labé,155327,Dépense liée à infrastructure it
2024-11-15,Voyages,Opérations,Kankan,47803,Dépense liée à voyages
2024-01-13,Formation,Opérations,Labé,163557,Dépense liée à formation
2024-03-18,Maintenance,Finance,Nzérékoré,107158,Dépense liée à maintenance
2024-07-21,Frais bancaires,Ventes,Labé,55727,Dépense liée à frais bancaires
2024-05-30,Frais bancaires,Ventes,Conakry,123249,Dépense liée à frais bancaires
2024-04-12,Voyages,Opérations,Conakry,182851,Dépense liée à voyages
2024-07-26,Marketing,Support Client,Conakry,139477,Dépense liée à marketing
2024-07-12,Salaires,Ventes,Kindia,53053,Dépense liée à salaires
2024-03-25,Marketing,Opérations,Labé,52336,Dépense liée à marketing
2024-08-30,Infrastructure IT,Support Client,Kindia,196866,Dépense liée à infrastructure it
2024-08-23,Frais bancaires,Ventes,Kindia,150813,Dépense liée à frais bancaires
2024-06-13,Marketing,Support Client,Kindia,164560,Dépense liée à marketing
2024-06-26,Maintenance,Support Client,Kankan,8555,Dépense liée à maintenance
2024-02-10,Frais bancaires,Opérations,Nzérékoré,46051,Dépense liée à frais bancaires
2024-03-29,Maintenance,Ventes,Conakry,106029,Dépense liée à maintenance
2024-03-29,Marketing,Marketing,Nzérékoré,89598,Dépense liée à marketing
2024-11-13,Maintenance,Marketing,Labé,131474,Dépense liée à maintenance
2024-11-30,Maintenance,Finance,Kankan,10287,Dépense liée à maintenance
2024-08-23,Formation,Finance,Nzérékoré,60944,Dépense liée à formation
2024-11-22,Infrastructure IT,Ventes,Kindia,72303,Dépense liée à infrastructure it
2024-01-26,Voyages,Opérations,Nzérékoré,48702,Dépense liée à voyages
2024-02-09,Autres,Support Client,Labé,179911,Dépense liée à autres
2024-04-30,Marketing,Marketing,Kindia,161052,Dépense liée à marketing
2024-06-18,Frais bancaires,Support Client,Kindia,155248,Dépense liée à frais bancaires
2024-01-02,Voyages,Finance,Nzérékoré,38395,Dépense liée à voyages
2024-03-09,Voyages,Opérations,Kankan,181524,Dépense liée à voyages
2024-04-05,Maintenance,Finance,Kindia,64777,Dépense liée à maintenance
2024-10-09,Marketing,Opérations,Labé,16764,Dépense liée à marketing
2024-08-09,Marketing,Ventes,Labé,168157,Dépense liée à marketing
2024-02-07,Infrastructure IT,Finance,Kindia,123372,Dépense liée à infrastructure it
2024-05-15,Marketing,Finance,Labé,84814,Dépense liée à marketing
2024-05-20,Formation,Opérations,Kankan,105135,Dépense liée à formation
2024-03-28,Marketing,Support Client,Labé,5930,Dépense liée à marketing
2024-08-28,Autres,Finance,Conakry,86036,Dépense liée à autres
2024-05-31,Frais bancaires,Finance,Kindia,63329,Dépense liée à frais bancaires
2024-10-01,Maintenance,Opérations,Nzérékoré,44044,Dépense liée à maintenance
2024-03-20,Voyages,Opérations,Kankan,80275,Dépense liée à voyages
2024-05-02,Voyages,Finance,Labé,188700,Dépense liée à voyages
2024-12-17,Salaires,Marketing,Nzérékoré,52202,Dépense liée à salaires
2024-11-24,Salaires,Opérations,Nzérékoré,165166,Dépense liée à salaires
2024-03-18,Salaires,Ventes,Conakry,64497,Dépense liée à salaires
2024-06-13,Infrastructure IT,Opérations,Nzérékoré,168952,Dépense liée à infrastructure it
2024-05-25,Frais bancaires,Support Client,Conakry,66420,Dépense liée à frais bancaires
2024-09-09,Autres,Opérations,Kankan,70047,Dépense liée à autres
2024-02-25,Voyages,Opérations,Kindia,148075,Dépense liée à voyages
2024-02-27,Infrastructure IT,Support Client,Kankan,177923,Dépense liée à infrastructure it
2024-11-26,Infrastructure IT,Support Client,Labé,175487,Dépense liée à infrastructure it
2024-12-21,Infrastructure IT,Ventes,Kankan,17299,Dépense liée à infrastructure it
2024-02-22,Formation,Opérations,Labé,172605,Dépense liée à formation
2024-08-22,Formation,Opérations,Labé,150781,Dépense liée à formation
2024-07-13,Salaires,Ventes,Conakry,38632,Dépense liée à salaires
2024-05-22,Maintenance,Support Client,Labé,87409,Dépense liée à maintenance
2024-04-05,Autres,Marketing,Kankan,59507,Dépense liée à autres
2024-01-06,Infrastructure IT,Ventes,Kankan,199073,Dépense liée à infrastructure it
2024-10-30,Salaires,Ventes,Labé,126801,Dépense liée à salaires
2024-02-07,Frais bancaires,Finance,Kindia,151539,Dépense liée à frais bancaires
2024-06-11,Voyages,Finance,Labé,120714,Dépense liée à voyages
2024-10-23,Autres,Support Client,Kankan,174126,Dépense liée à autres
2024-04-02,Marketing,Finance,Conakry,133187,Dépense liée à marketing
2024-07-02,Frais bancaires,Opérations,Kindia,76961,Dépense liée à frais bancaires
2024-07-02,Salaires,Ventes,Conakry,132263,Dépense liée à salaires
2024-11-28,Infrastructure IT,Support Client,Nzérékoré,187248,Dépense liée à infrastructure it
2024-05-04,Maintenance,Finance,Labé,60101,Dépense liée à maintenance
2024-02-17,Marketing,Ventes,Nzérékoré,114239,Dépense liée à marketing
2024-11-25,Maintenance,Support Client,Kankan,199851,Dépense liée à maintenance
2024-01-07,Voyages,Marketing,Conakry,29121,Dépense liée à voyages
2024-10-02,Marketing,Marketing,Kankan,125729,Dépense liée à marketing
2024-08-02,Salaires,Ventes,Labé,65977,Dépense liée à salaires
2024-02-04,Infrastructure IT,Marketing,Nzérékoré,188904,Dépense liée à infrastructure it
2024-01-13,Formation,Finance,Conakry,44850,Dépense liée à formation
2024-07-20,Infrastructure IT,Marketing,Nzérékoré,135345,Dépense liée à infrastructure it
2024-05-03,Maintenance,Ventes,Kindia,198215,Dépense liée à maintenance
2024-11-23,Frais bancaires,Support Client,Kindia,95848,Dépense liée à frais bancaires
2024-05-11,Maintenance,Opérations,Kindia,29287,Dépense liée à maintenance
2024-08-18,Marketing,Marketing,Conakry,82761,Dépense liée à marketing
2024-08-05,Maintenance,Marketing,Nzérékoré,48375,Dépense liée à maintenance
2024-03-31,Marketing,Ventes,Labé,24798,Dépense liée à marketing
2024-04-23,Formation,Ventes,Labé,34131,Dépense liée à formation
2024-03-29,Formation,Opérations,Conakry,162168,Dépense liée à formation
2024-01-28,Salaires,Opérations,Conakry,86823,Dépense liée à salaires
2024-10-11,Frais bancaires,Finance,Conakry,9747,Dépense liée à frais bancaires
2024-06-15,Autres,Opérations,Nzérékoré,75043,Dépense liée à autres
2024-06-07,Maintenance,Support Client,Conakry,59885,Dépense liée à maintenance
2024-12-01,Autres,Finance,Kindia,95554,Dépense liée à autres
2024-11-30,Formation,Support Client,Nzérékoré,152082,Dépense liée à formation
2024-08-17,Autres,Support Client,Nzérékoré,22028,Dépense liée à autres
2024-08-22,Frais bancaires,Marketing,Kindia,49838,Dépense liée à frais bancaires
2024-09-05,Maintenance,Ventes,Kindia,48499,Dépense liée à maintenance
2024-03-12,Salaires,Opérations,Nzérékoré,18886,Dépense liée à salaires
2024-04-11,Salaires,Ventes,Kindia,63623,Dépense liée à salaires
2024-12-26,Infrastructure IT,Opérations,Nzérékoré,156533,Dépense liée à infrastructure it
2024-09-23,Infrastructure IT,Support Client,Labé,24743,Dépense liée à infrastructure it
2024-12-07,Formation,Marketing,Kindia,126458,Dépense liée à formation
2024-06-12,Voyages,Support Client,Nzérékoré,152783,Dépense liée à voyages
2024-12-06,Maintenance,Support Client,Kindia,157057,Dépense liée à maintenance
2024-11-20,Frais bancaires,Opérations,Kindia,26447,Dépense liée à frais bancaires
2024-02-16,Frais bancaires,Finance,Conakry,59683,Dépense liée à frais bancaires
2024-01-12,Frais bancaires,Finance,Nzérékoré,47021,Dépense liée à frais bancaires
2024-11-03,Marketing,Ventes,Labé,103035,Dépense liée à marketing
2024-08-31,Autres,Finance,Nzérékoré,150658,Dépense liée à autres
2024-04-29,Formation,Finance,Nzérékoré,172949,Dépense liée à formation
